Category,Description,Nutrient_Bank_Number,Alpha_Carotene,Beta_Carotene,Beta_Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein_and_Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar_Total,Thiamin,Water,Fat_Monosaturated_Fat,Fat_Polysaturated_Fat,Fat_Saturated_Fat,Fat_Total_Lipid,Major_Minerals_Calcium,Major_Minerals_Copper,Major_Minerals_Iron,Major_Minerals_Magnesium,Major_Minerals_Phosphorus,Major_Minerals_Potassium,Major_Minerals_Sodium,Major_Minerals_Zinc,Vitamins_Vitamin_A__RAE,Vitamins_Vitamin_B12,Vitamins_Vitamin_B6,Vitamins_Vitamin_C,Vitamins_Vitamin_E,Vitamins_Vitamin_K
Sugar,"Sugar, NFS",91101000,0,0,0,99.6,0,0,0,0,0,0,0,0,0.019,0.6,99.8,0,0.02,0,0,0,0.32,1,0.007,0.05,0,0,2,1,0.01,0,0,0,0,0,0
Sugar,"Sugar, white, granulated or lump",91101010,0,0,0,99.6,0,0,0,0,0,0,0,0,0.019,0.6,99.8,0,0.02,0,0,0,0.32,1,0.007,0.05,0,0,2,1,0.01,0,0,0,0,0,0
Sugar substitute and sugar blend,Sugar substitute and sugar blend,91106010,0,0,0,99.35,0,0,0,0,0,0,0,0,0.018,0.6,99.22,0,0.28,0,0,0,0.31,1,0.007,0.05,0,0,2,1,0.01,0,0,0,0,0,0
Sugar,"Sugar, white, confectioner's, powdered",91101020,0,0,0,99.77,0,0,0,0,0,0,0,0,0.019,0.6,97.81,0,0.23,0,0,0,0,1,0.007,0.06,0,0,2,2,0.01,0,0,0,0,0,0
Fruit flavored drink,"Fruit flavored drink, powdered, not reconstituted",92900110,0,0,0,97.9,0,0.1,0,0,0,0,0,0,0.011,0.3,97.15,0.002,0.52,0.129,0.531,0.183,1.01,11,0.025,0.17,165,99,39,130,0.03,0,0,0,40.6,0.08,1.9
Sports drink,"Sports drink, dry concentrate, not reconstituted",92900300,0,0,0,97.9,0,0.1,0,0,0,0,0,0,0.011,0.3,97.15,0.002,0.52,0.129,0.531,0.183,1.01,11,0.025,0.17,165,99,39,130,0.03,0,0,0,40.6,0.08,1.9
Sugar,"Sugar, brown",91102010,0,0,0,98.09,0,2.3,0,0,0,0.11,0.12,0,0,1.2,97.02,0,1.34,0,0,0,0,83,0.047,0.71,9,4,133,28,0.03,0,0,0.041,0,0,0
Strawberry beverage powder,"Strawberry beverage powder, dry mix, not reconstituted",11830400,0,0,0,99.1,0,0.1,0,0,0,0.073,0.1,0,0.11,0.5,95.45,0.003,0.4,0,0,0,0.2,4,0,0.44,1,5,6,38,0,0,0,0.002,0.3,0,0
Tea,"Tea, iced, instant, black, pre-sweetened, dry",92307400,0,0,0,98.55,0,1.1,0.7,0,0,0.125,0.12,0,0,0.6,95.29,0.011,0.13,0.033,0.218,0.097,0.73,2,0.01,0.21,3,2,169,5,0.03,0,0,0.015,0,0,0
Sugar,"Sugar, cinnamon",91104100,0,8,9,98.27,0,0.8,3.7,15,1,0.093,0.28,0,0.021,0.8,92.99,0.002,0.76,0.017,0.005,0.024,0.38,71,0.03,0.63,4,4,32,2,0.14,1,0,0.011,0.3,0.16,2.2
Fruit flavored drink,"Fruit flavored drink, with high vitamin C, powdered, not reconstituted",92900100,0,0,1,98.94,0,0.1,0.4,1,0,8,0,599,0.68,0.5,92.31,0.001,0.14,0,0,0,0,385,0.013,0.02,0,151,190,17,0.01,599,0,0.8,230.8,0,0
Fondant,Fondant,91707000,0,0,0,93.18,0,0,0,0,0,0,0,0,0.016,0.6,88.9,0.005,6.74,0,0,0,0.02,3,0.003,0.01,0,0,4,11,0.04,0,0,0,0,0,0
Sugar substitute,"Sugar substitute, saccharin, powder",91200040,0,0,0,89.11,0,0,0,0,0,0,0.94,0,0,0,85.19,0,8.75,0,0,0,0,0,0,0.04,0,0,4,428,0.01,0,0,0,0,0,0
Pineapple candy,"Pineapple candy, Puerto Rican style",91736000,0,29,0,84.86,0,5.7,1.2,0,0,0.402,0.65,0,0.051,1,83.75,0.111,13.54,0.016,0.047,0.009,0.37,23,0.146,0.64,27,6,173,2,0.19,3,0,0.106,9.8,0.02,0.4
Honey,Honey,91302010,0,0,0,82.4,0,2.2,0.2,0,0,0.121,0.3,0,0.038,0.8,82.12,0,17.1,0,0,0,0,6,0.036,0.42,2,4,52,4,0.22,0,0,0.024,0.5,0,0
Sugar substitute,"Sugar substitute, powder, NFS",91200000,0,0,0,90.14,0,0,0,0,0,0,0.66,0,0,0.1,82.09,0,8.79,0,0,0,0,0,0,0.02,0,0,4,150,0,0,0,0,0,0,0
Fudge,"Fudge, divinity",91713090,0,3,0,82.92,0,4.3,0.9,1,0,0.071,4.26,0,0.067,4.8,81.93,0.023,4.26,2.014,4.753,0.454,8.01,13,0.184,0.45,28,68,87,64,0.56,0,0.01,0.076,0.2,0.27,0.4
Chocolate beverage powder,"Chocolate beverage powder, dry mix, not reconstituted",11830160,0,0,0,90.28,0,3.3,4.5,0,0,0.199,4.55,0,0.056,1.9,81.82,0.009,1.1,0,0,2.273,2.27,455,0.909,0,53,86,280,136,6.82,0,0,0.909,27.3,0.04,0.9
Sugar substitute,"Sugar substitute, aspartame, powder",91201010,0,0,0,89.08,0,0,0,0,0,0,2.17,0,0,0.5,80.7,0,8.75,0,0,0,0,0,0,0.04,0,0,4,0,0.01,0,0,0,0,0,0
Fruit peel,"Fruit peel, candied",91708000,0,9,5,82.74,0,2.2,1.6,11,0,0,0.34,0,0,0.6,80.68,0,16.7,0.008,0.02,0.01,0.07,18,0.029,0.17,4,5,56,98,0.05,1,0,0,0,0.04,0.3
Coffee,"Coffee, instant, pre-sweetened with sugar, not reconstituted",92191400,0,0,0,94.92,0,19.7,0,0,0,5.453,2.36,0,0.03,2.9,80.48,0.002,0.62,0.008,0.038,0.038,0.36,28,0.033,0.89,64,59,686,8,0.08,0,0,0.006,0,0,0.4
Butterscotch hard candy,Butterscotch hard candy,91745040,0,6,0,90.4,9,0.8,0,0,0,0.002,0.03,27,0.016,0.6,80.46,0.012,5.25,0.845,0.122,2.065,3.3,4,0.001,0.01,0,1,3,391,0.09,28,0,0,0,0.09,0.3
